Rank;Flag;Country or Area;Average Temperature (1991-2020) (°C);Coldest Month (1991-2020) (°C);Hottest Month (1991-2020) (°C);Variation (1991-2020) (°C)
1;;Mali;28.83;19.40;34.60;15.20
2;;Burkina Faso;28.71;22.90;33.90;11.00
3;;Senegal;28.65;23.30;32.80;9.50
4;;Tuvalu;28.45;27.10;29.60;2.50
5;;Djibouti;28.38;22.70;34.10;11.40
6;;Mauritania;28.34;19.10;34.50;15.40
7;;Bahrain;28.23;13.80;39.60;25.80
8;;Palau;28.04;26.70;29.30;2.60
9;;Qatar;28.02;15.10;37.80;22.70
10;;Gambia;27.97;23.30;31.30;8.00
11;;Benin;27.93;24.90;31.90;7.00
11;;Marshall Islands;27.93;26.60;29.00;2.40
13;;Niger;27.83;17.10;34.60;17.50
14;;Maldives;27.80;27.20;28.90;1.70
15;;Sudan;27.74;18.70;33.20;14.50
16;;South Sudan;27.72;25.00;31.80;6.80
17;;Ghana;27.68;25.00;31.10;6.10
18;;Northern Mariana Islands;27.64;25.90;30.00;4.10
19;;United Arab Emirates;27.63;16.50;35.70;19.20
20;;Singapore;27.60;26.10;29.30;3.20
21;;Samoa;27.59;25.80;29.50;3.70
22;;Seychelles;27.55;25.50;29.40;3.90
23;;Cambodia;27.51;23.30;31.00;7.70
24;;Kiribati;27.49;27.20;27.80;0.60
25;;Guinea-Bissau;27.43;23.40;31.10;7.70
26;;Saint Vincent and the Grenadines;27.42;25.00;29.10;4.10
27;;Togo;27.38;24.40;30.90;6.50
28;;Chad;27.37;18.90;32.70;13.80
29;;Sri Lanka;27.28;25.00;29.30;4.30
30;;Grenada;27.24;25.00;28.90;3.90
30;;Nigeria;27.24;23.20;31.50;8.30
32;;Somalia;27.09;24.80;29.30;4.50
33;;Eritrea;26.92;20.30;31.10;10.80
34;;Thailand;26.79;21.40;31.20;9.80
35;;Côte d’Ivoire;26.76;24.30;30.30;6.00
36;;Barbados;26.73;24.90;28.10;3.20
37;;Micronesia (Federated States of);26.65;25.40;27.70;2.30
38;;Antigua and Barbuda;26.61;24.30;28.30;4.00
39;;Brunei Darussalam;26.56;25.00;28.00;3.00
40;;Sierra Leone;26.54;24.30;29.40;5.10
41;;Trinidad and Tobago;26.37;24.60;27.90;3.30
42;;Saint Lucia;26.34;24.20;28.00;3.80
43;;Kuwait;26.18;10.00;39.00;29.00
44;;Guinea;26.14;23.40;30.10;6.70
44;;Indonesia;26.14;25.40;26.90;1.50
46;;Guyana;26.12;24.50;28.10;3.60
47;;Suriname;26.07;24.30;28.00;3.70
48;;Oman;26.04;18.90;31.40;12.50
49;;Venezuela (Bolivarian Republic of);25.86;24.30;27.90;3.60
50;;Cuba;25.83;20.00;28.60;8.60
51;;Philippines;25.82;23.60;27.80;4.20
52;;Malaysia;25.75;24.50;27.20;2.70
53;;Liberia;25.69;23.80;28.20;4.40
54;;Solomon Islands;25.61;24.50;26.50;2.00
55;;Belize;25.59;21.40;28.40;7.00
56;;Bangladesh;25.53;17.10;29.70;12.60
57;;Brazil;25.51;22.70;27.20;4.50
58;;Saudi Arabia;25.47;13.70;34.30;20.60
59;;Panama;25.40;23.70;27.20;3.50
60;;Gabon;25.36;22.40;27.30;4.90
61;;Central African Republic;25.31;23.00;28.40;5.40
62;;Nicaragua;25.29;22.90;27.30;4.40
63;;El Salvador;25.24;22.50;27.90;5.40
64;;Haiti;25.13;22.30;27.50;5.20
65;;Saint Kitts and Nevis;25.11;22.60;27.00;4.40
66;;Kenya;25.09;22.90;28.00;5.10
67;;Papua New Guinea;25.08;23.70;26.20;2.50
68;;Bahamas;25.06;17.20;29.30;12.10
69;;Timor-Leste;24.99;22.40;26.70;4.30
70;;Jamaica;24.97;21.70;27.10;5.40
71;;Puerto Rico;24.93;22.10;27.10;5.00
72;;Cameroon;24.87;22.90;27.90;5.00
73;;Congo;24.85;22.40;26.80;4.40
73;;Costa Rica;24.85;22.90;26.80;3.90
75;;Colombia;24.79;23.50;26.60;3.10
76;;India;24.68;16.30;31.10;14.80
77;;Viet Nam;24.62;18.40;28.50;10.10
78;;Tonga;24.58;21.50;28.10;6.60
79;;Equatorial Guinea;24.54;22.30;26.60;4.30
80;;Comoros;24.52;21.70;26.60;4.90
81;;Democratic Republic of the Congo;24.36;22.50;25.60;3.10
82;;Mozambique;24.33;19.40;27.70;8.30
83;;Fiji;24.30;21.00;26.60;5.60
84;;Dominican Republic;24.19;21.20;26.70;5.50
85;;Vanuatu;24.03;21.70;26.20;4.50
86;;Honduras;23.99;20.80;26.30;5.50
87;;Lao People's Democratic Republic;23.74;17.40;27.60;10.20
88;;Paraguay;23.73;15.00;28.90;13.90
89;;Mauritius;23.69;20.00;27.10;7.10
90;;Guatemala;23.67;20.20;26.30;6.10
91;;Yemen;23.63;17.90;29.10;11.20
92;;Myanmar;23.36;17.30;27.30;10.00
93;;Uganda;23.34;21.50;26.00;4.50
94;;Cabo Verde;23.23;19.60;26.30;6.70
95;;Algeria;23.22;10.90;34.10;23.20
96;;Sao Tome and Principe;23.20;20.40;25.20;4.80
97;;Ethiopia;23.04;20.00;26.30;6.30
98;;Egypt;23.00;11.90;31.60;19.70
99;;United Republic of Tanzania;22.86;20.10;24.80;4.70
